VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 755.775848;nd_seq 149925; raw_accs 2076; 2044; 2544; raw_gyros 0042; 0053;-007 ;phys_accs  23.447523; -95.969032; -959.478027;phys_gyros   0.063161; -0.079348;  0.073977; ; frame_size 3508;video_stream.frame_number 21483;  hdvideo_stream.frame_number: 0 ; 1431377653.692673 

;navdata_time 755.781066;nd_seq 149926; raw_accs 2076; 2044; 2548; raw_gyros 0041; 0051;-006 ;phys_accs  27.141472; -97.614716; -958.347168;phys_gyros   0.053166; -0.026179;  0.048734; ; frame_size 3508;video_stream.frame_number 21483;  hdvideo_stream.frame_number: 0 ; 1431377653.695246 

;navdata_time 755.785919;nd_seq 149927; raw_accs 2076; 2044; 2544; raw_gyros 0041; 0055;-004 ;phys_accs  27.935038; -101.197914; -954.244141;phys_gyros   0.077335; -0.028527;  0.012882; ; frame_size 3508;video_stream.frame_number 21483;  hdvideo_stream.frame_number: 0 ; 1431377653.700233 

;navdata_time 755.791076;nd_seq 149928; raw_accs 2076; 2040; 2544; raw_gyros 0042; 0053;-006 ;phys_accs  28.867884; -101.397026; -954.730957;phys_gyros   0.035936;  0.059068; -0.061731; ; frame_size 3508;video_stream.frame_number 21483;  hdvideo_stream.frame_number: 0 ; 1431377653.705013 

;navdata_time 755.795928;nd_seq 149929; raw_accs 2076; 2040; 2544; raw_gyros 0042; 0053;-005 ;phys_accs  28.476402; -100.029198; -952.171875;phys_gyros   0.062291; -0.016211; -0.116343; ; frame_size 3508;video_stream.frame_number 21483;  hdvideo_stream.frame_number: 0 ; 1431377653.709850 

;navdata_time 755.803497;nd_seq 149930; raw_accs 2076; 2040; 2544; raw_gyros 0041; 0054;-006 ;phys_accs  27.094435; -95.925072; -952.604004;phys_gyros   0.066821; -0.016048; -0.089992; ; frame_size 2941;video_stream.frame_number 21484;  hdvideo_stream.frame_number: 0 ; 1431377653.717698 

;navdata_time 755.806091;nd_seq 149931; raw_accs 2076; 2040; 2544; raw_gyros 0041; 0052;-008 ;phys_accs  27.934002; -92.879898; -952.227051;phys_gyros   0.065670; -0.028784; -0.046405; ; frame_size 2941;video_stream.frame_number 21484;  hdvideo_stream.frame_number: 0 ; 1431377653.719934 

;navdata_time 755.811279;nd_seq 149932; raw_accs 2076; 2040; 2544; raw_gyros 0039; 0052;-008 ;phys_accs  27.440933; -92.964455; -950.834961;phys_gyros   0.035156; -0.021774;  0.033694; ; frame_size 2941;video_stream.frame_number 21484;  hdvideo_stream.frame_number: 0 ; 1431377653.725398 

;navdata_time 755.816223;nd_seq 149933; raw_accs 2072; 2040; 2544; raw_gyros 0041; 0053;-006 ;phys_accs  26.773493; -93.451057; -953.013184;phys_gyros  -0.003512;  0.066524;  0.069906; ; frame_size 2941;video_stream.frame_number 21484;  hdvideo_stream.frame_number: 0 ; 1431377653.732599 

;navdata_time 755.821136;nd_seq 149934; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0052;-006 ;phys_accs  24.545822; -95.523026; -951.184570;phys_gyros  -0.018481;  0.037468;  0.042275; ; frame_size 2941;video_stream.frame_number 21484;  hdvideo_stream.frame_number: 0 ; 1431377653.735091 

;navdata_time 755.826171;nd_seq 149935; raw_accs 2072; 2040; 2544; raw_gyros 0041; 0054;-007 ;phys_accs  20.747116; -94.494324; -952.778320;phys_gyros   0.012198;  0.046642;  0.022399; ; frame_size 2941;video_stream.frame_number 21484;  hdvideo_stream.frame_number: 0 ; 1431377653.740311 

;navdata_time 755.831207;nd_seq 149936; raw_accs 2076; 2040; 2544; raw_gyros 0042; 0055;-006 ;phys_accs  20.851376; -94.438484; -951.720703;phys_gyros   0.063928; -0.019225; -0.039245; ; frame_size 4608;video_stream.frame_number 21485;  hdvideo_stream.frame_number: 0 ; 1431377653.746757 

;navdata_time 755.836151;nd_seq 149937; raw_accs 2076; 2040; 2548; raw_gyros 0042; 0055;-007 ;phys_accs  21.922441; -93.791695; -953.201660;phys_gyros   0.089114; -0.086896; -0.013293; ; frame_size 4608;video_stream.frame_number 21485;  hdvideo_stream.frame_number: 0 ; 1431377653.750037 

;navdata_time 755.841339;nd_seq 149938; raw_accs 2072; 2040; 2548; raw_gyros 0039; 0055;-006 ;phys_accs  24.829601; -94.106476; -955.644043;phys_gyros   0.075359; -0.108890; -0.017379; ; frame_size 4608;video_stream.frame_number 21485;  hdvideo_stream.frame_number: 0 ; 1431377653.757506 

;navdata_time 755.846405;nd_seq 149939; raw_accs 2072; 2040; 2548; raw_gyros 0042; 0053;-006 ;phys_accs  25.828835; -94.656769; -958.428711;phys_gyros   0.037202; -0.123482;  0.007272; ; frame_size 4608;video_stream.frame_number 21485;  hdvideo_stream.frame_number: 0 ; 1431377653.760468 

;navdata_time 755.851165;nd_seq 149940; raw_accs 2072; 2040; 2548; raw_gyros 0041; 0052;-007 ;phys_accs  22.171246; -94.397552; -960.549805;phys_gyros   0.001301; -0.063211;  0.000289; ; frame_size 4608;video_stream.frame_number 21485;  hdvideo_stream.frame_number: 0 ; 1431377653.765431 

;navdata_time 755.856231;nd_seq 149941; raw_accs 2072; 2044; 2548; raw_gyros 0041; 0054;-007 ;phys_accs  20.150381; -95.955574; -960.752930;phys_gyros   0.023618; -0.003617; -0.010292; ; frame_size 4608;video_stream.frame_number 21485;  hdvideo_stream.frame_number: 0 ; 1431377653.770816 

