VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1928.949981;nd_seq 383487; raw_accs 2076; 2044; 2544; raw_gyros 0048; 0052;-007 ;phys_accs  28.444300; -103.065468; -952.085938;phys_gyros  -0.019522;  0.050793; -0.011295; ; frame_size 3621;video_stream.frame_number 48999;  hdvideo_stream.frame_number: 0 ; 1431378826.985840 

;navdata_time 1928.955047;nd_seq 383488; raw_accs 2072; 2044; 2544; raw_gyros 0050; 0053;-008 ;phys_accs  27.476049; -101.267723; -952.127441;phys_gyros   0.006572;  0.105371;  0.021814; ; frame_size 3621;video_stream.frame_number 48999;  hdvideo_stream.frame_number: 0 ; 1431378826.991139 

;navdata_time 1928.960205;nd_seq 383489; raw_accs 2076; 2048; 2544; raw_gyros 0048; 0054;-008 ;phys_accs  26.388819; -103.034286; -952.056641;phys_gyros  -0.017797;  0.103225;  0.059800; ; frame_size 3621;video_stream.frame_number 48999;  hdvideo_stream.frame_number: 0 ; 1431378826.996154 

;navdata_time 1928.965209;nd_seq 383490; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0053;-006 ;phys_accs  21.844187; -105.234459; -952.034180;phys_gyros  -0.011137;  0.079541;  0.053810; ; frame_size 3621;video_stream.frame_number 48999;  hdvideo_stream.frame_number: 0 ; 1431378827.000407 

;navdata_time 1928.970062;nd_seq 383491; raw_accs 2076; 2048; 2544; raw_gyros 0048; 0053;-005 ;phys_accs  23.858978; -109.758919; -952.120117;phys_gyros  -0.066318;  0.018052;  0.036778; ; frame_size 3621;video_stream.frame_number 48999;  hdvideo_stream.frame_number: 0 ; 1431378827.005860 

;navdata_time 1928.975219;nd_seq 383492; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0055;-006 ;phys_accs  21.534788; -110.872643; -952.032715;phys_gyros  -0.081064; -0.006740; -0.022327; ; frame_size 3493;video_stream.frame_number 49000;  hdvideo_stream.frame_number: 0 ; 1431378827.010485 

;navdata_time 1928.980072;nd_seq 383493; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-007 ;phys_accs  23.545238; -111.528244; -952.105957;phys_gyros  -0.066069; -0.002925; -0.054101; ; frame_size 3493;video_stream.frame_number 49000;  hdvideo_stream.frame_number: 0 ; 1431378827.015201 

;navdata_time 1928.985229;nd_seq 383494; raw_accs 2076; 2048; 2544; raw_gyros 0050; 0054;-007 ;phys_accs  22.969070; -110.231873; -952.062012;phys_gyros  -0.041801; -0.018056; -0.041405; ; frame_size 3493;video_stream.frame_number 49000;  hdvideo_stream.frame_number: 0 ; 1431378827.020518 

;navdata_time 1928.990142;nd_seq 383495; raw_accs 2076; 2048; 2540; raw_gyros 0049; 0056;-006 ;phys_accs  22.322115; -109.222145; -950.563965;phys_gyros   0.018160; -0.021931; -0.008588; ; frame_size 3493;video_stream.frame_number 49000;  hdvideo_stream.frame_number: 0 ; 1431378827.026676 

;navdata_time 1928.995208;nd_seq 383496; raw_accs 2076; 2048; 2544; raw_gyros 0049; 0052;-006 ;phys_accs  26.920021; -110.093163; -950.334473;phys_gyros   0.019726; -0.031214;  0.025809; ; frame_size 3493;video_stream.frame_number 49000;  hdvideo_stream.frame_number: 0 ; 1431378827.030459 

;navdata_time 1929.000427;nd_seq 383497; raw_accs 2076; 2048; 2544; raw_gyros 0048; 0052;-006 ;phys_accs  26.173040; -109.782486; -948.736328;phys_gyros   0.005240; -0.009636;  0.000172; ; frame_size 3742;video_stream.frame_number 49001;  hdvideo_stream.frame_number: 0 ; 1431378827.035480 

;navdata_time 1929.005279;nd_seq 383498; raw_accs 2076; 2048; 2544; raw_gyros 0049; 0053;-006 ;phys_accs  30.402618; -110.802017; -950.625488;phys_gyros  -0.016791;  0.068504; -0.031516; ; frame_size 3742;video_stream.frame_number 49001;  hdvideo_stream.frame_number: 0 ; 1431378827.040436 

;navdata_time 1929.005279;nd_seq 383499; raw_accs 2076; 2048; 2544; raw_gyros 0049; 0053;-006 ;phys_accs  30.402618; -110.802017; -950.625488;phys_gyros  -0.016791;  0.068504; -0.031516; ; frame_size 3742;video_stream.frame_number 49001;  hdvideo_stream.frame_number: 0 ; 1431378827.042962 

;navdata_time 1929.010223;nd_seq 383500; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0055;-005 ;phys_accs  26.293299; -110.144814; -951.591309;phys_gyros  -0.050269;  0.063768; -0.065221; ; frame_size 3742;video_stream.frame_number 49001;  hdvideo_stream.frame_number: 0 ; 1431378827.045610 

;navdata_time 1929.015502;nd_seq 383501; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0055;-006 ;phys_accs  24.078020; -109.928741; -952.754395;phys_gyros  -0.061822;  0.048549; -0.061621; ; frame_size 3742;video_stream.frame_number 49001;  hdvideo_stream.frame_number: 0 ; 1431378827.050829 

;navdata_time 1929.015502;nd_seq 383502; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0055;-006 ;phys_accs  24.078020; -109.928741; -952.754395;phys_gyros  -0.061822;  0.048549; -0.061621; ; frame_size 3742;video_stream.frame_number 49001;  hdvideo_stream.frame_number: 0 ; 1431378827.052848 

;navdata_time 1929.020385;nd_seq 383503; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0052;-007 ;phys_accs  20.559902; -108.479057; -953.292969;phys_gyros  -0.067148; -0.004465; -0.039124; ; frame_size 3742;video_stream.frame_number 49001;  hdvideo_stream.frame_number: 0 ; 1431378827.055581 

;navdata_time 1929.025360;nd_seq 383504; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0051;-006 ;phys_accs  18.187933; -106.334435; -951.339355;phys_gyros  -0.082454; -0.015354; -0.023120; ; frame_size 3742;video_stream.frame_number 49001;  hdvideo_stream.frame_number: 0 ; 1431378827.060576 

;navdata_time 1929.030395;nd_seq 383505; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0053;-006 ;phys_accs  19.434019; -103.210007; -952.173828;phys_gyros  -0.040342;  0.072548; -0.004060; ; frame_size 3742;video_stream.frame_number 49001;  hdvideo_stream.frame_number: 0 ; 1431378827.068187 

;navdata_time 1929.035369;nd_seq 383506; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-005 ;phys_accs  19.153223; -101.420509; -951.132812;phys_gyros  -0.052750;  0.096304; -0.030851; ; frame_size 4057;video_stream.frame_number 49002;  hdvideo_stream.frame_number: 0 ; 1431378827.070568 

