VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1371.236968;nd_seq 272507; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0055;-006 ;phys_accs  19.728426; -108.353996; -951.920898;phys_gyros   0.036112; -0.037917; -0.019853; ; frame_size 1992;video_stream.frame_number 39056;  hdvideo_stream.frame_number: 0 ; 1431378269.169274 

;navdata_time 1371.241729;nd_seq 272508; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0053;-006 ;phys_accs  19.711979; -109.463890; -952.051758;phys_gyros   0.084245; -0.016881; -0.062743; ; frame_size 2142;video_stream.frame_number 39057;  hdvideo_stream.frame_number: 0 ; 1431378269.181881 

;navdata_time 1371.246765;nd_seq 272509; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-007 ;phys_accs  19.700041; -110.711906; -952.023926;phys_gyros   0.017892; -0.018389; -0.036982; ; frame_size 2142;video_stream.frame_number 39057;  hdvideo_stream.frame_number: 0 ; 1431378269.182548 

;navdata_time 1371.251922;nd_seq 272510; raw_accs 2068; 2048; 2544; raw_gyros 0047; 0054;-007 ;phys_accs  18.150356; -111.299500; -951.891113;phys_gyros   0.015802;  0.012944; -0.021040; ; frame_size 2142;video_stream.frame_number 39057;  hdvideo_stream.frame_number: 0 ; 1431378269.183788 

;navdata_time 1371.256958;nd_seq 272511; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0053;-007 ;phys_accs  17.823248; -109.331787; -952.037109;phys_gyros   0.014884;  0.023605;  0.026969; ; frame_size 2142;video_stream.frame_number 39057;  hdvideo_stream.frame_number: 0 ; 1431378269.205330 

;navdata_time 1371.262084;nd_seq 272512; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0053;-007 ;phys_accs  16.183552; -110.134964; -951.902344;phys_gyros  -0.016745;  0.022939;  0.051287; ; frame_size 2142;video_stream.frame_number 39057;  hdvideo_stream.frame_number: 0 ; 1431378269.205920 

;navdata_time 1371.267120;nd_seq 272513; raw_accs 2072; 2048; 2540; raw_gyros 0046; 0054;-006 ;phys_accs  18.038010; -109.096008; -950.493164;phys_gyros  -0.009342;  0.033250;  0.023280; ; frame_size 2142;video_stream.frame_number 39057;  hdvideo_stream.frame_number: 0 ; 1431378269.206684 

;navdata_time 1371.267120;nd_seq 272514; raw_accs 2072; 2048; 2540; raw_gyros 0046; 0054;-006 ;phys_accs  18.038010; -109.096008; -950.493164;phys_gyros  -0.009342;  0.033250;  0.023280; ; frame_size 2142;video_stream.frame_number 39057;  hdvideo_stream.frame_number: 0 ; 1431378269.207273 

;navdata_time 1371.272003;nd_seq 272515; raw_accs 2072; 2048; 2540; raw_gyros 0047; 0054;-006 ;phys_accs  19.110588; -110.324989; -948.689453;phys_gyros  -0.048996; -0.002293;  0.007606; ; frame_size 2340;video_stream.frame_number 39058;  hdvideo_stream.frame_number: 0 ; 1431378269.207931 

