VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 824.159149;nd_seq 163558; raw_accs 2072; 2044; 2544; raw_gyros 0043; 0053;-008 ;phys_accs  19.766953; -102.132561; -956.116699;phys_gyros   0.093935;  0.001838; -0.016192; ; frame_size 4347;video_stream.frame_number 22903;  hdvideo_stream.frame_number: 0 ; 1431377722.075905 

;navdata_time 824.164031;nd_seq 163559; raw_accs 2076; 2044; 2548; raw_gyros 0041; 0053;-007 ;phys_accs  21.300692; -103.626396; -954.835938;phys_gyros   0.113152; -0.033272;  0.060594; ; frame_size 4252;video_stream.frame_number 22904;  hdvideo_stream.frame_number: 0 ; 1431377722.080561 

;navdata_time 824.169403;nd_seq 163560; raw_accs 2072; 2044; 2548; raw_gyros 0043; 0054;-007 ;phys_accs  21.702723; -100.621078; -955.822754;phys_gyros   0.094401; -0.003250;  0.066084; ; frame_size 4252;video_stream.frame_number 22904;  hdvideo_stream.frame_number: 0 ; 1431377722.085309 

;navdata_time 824.174011;nd_seq 163561; raw_accs 2072; 2044; 2548; raw_gyros 0043; 0051;-004 ;phys_accs  23.269161; -102.756081; -958.060547;phys_gyros   0.072393;  0.004126;  0.048919; ; frame_size 4252;video_stream.frame_number 22904;  hdvideo_stream.frame_number: 0 ; 1431377722.089691 

;navdata_time 824.179199;nd_seq 163562; raw_accs 2072; 2044; 2548; raw_gyros 0043; 0054;-007 ;phys_accs  21.445763; -101.537537; -958.887695;phys_gyros   0.061752;  0.028912; -0.020821; ; frame_size 4252;video_stream.frame_number 22904;  hdvideo_stream.frame_number: 0 ; 1431377722.094811 

;navdata_time 824.184020;nd_seq 163563; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0054;-007 ;phys_accs  20.305998; -102.408943; -961.676270;phys_gyros   0.059809;  0.029105; -0.070282; ; frame_size 4252;video_stream.frame_number 22904;  hdvideo_stream.frame_number: 0 ; 1431377722.099776 

;navdata_time 824.189117;nd_seq 163564; raw_accs 2072; 2044; 2544; raw_gyros 0042; 0054;-007 ;phys_accs  19.089647; -102.516037; -958.374512;phys_gyros   0.086877; -0.015411; -0.023785; ; frame_size 4252;video_stream.frame_number 22904;  hdvideo_stream.frame_number: 0 ; 1431377722.104704 

;navdata_time 824.194152;nd_seq 163565; raw_accs 2076; 2044; 2548; raw_gyros 0042; 0053;-007 ;phys_accs  20.004206; -101.747398; -957.877441;phys_gyros   0.059086; -0.029969;  0.015282; ; frame_size 4525;video_stream.frame_number 22905;  hdvideo_stream.frame_number: 0 ; 1431377722.109857 

;navdata_time 824.194152;nd_seq 163566; raw_accs 2076; 2044; 2548; raw_gyros 0042; 0053;-007 ;phys_accs  20.004206; -101.747398; -957.877441;phys_gyros   0.059086; -0.029969;  0.015282; ; frame_size 4525;video_stream.frame_number 22905;  hdvideo_stream.frame_number: 0 ; 1431377722.116146 

;navdata_time 824.199279;nd_seq 163567; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0053;-006 ;phys_accs  22.300421; -102.434227; -955.806641;phys_gyros   0.042491; -0.038037;  0.048406; ; frame_size 4525;video_stream.frame_number 22905;  hdvideo_stream.frame_number: 0 ; 1431377722.116879 

;navdata_time 824.204193;nd_seq 163568; raw_accs 2072; 2044; 2548; raw_gyros 0041; 0053;-007 ;phys_accs  23.043226; -102.042923; -957.449707;phys_gyros   0.013258; -0.015534;  0.047041; ; frame_size 4525;video_stream.frame_number 22905;  hdvideo_stream.frame_number: 0 ; 1431377722.120021 

;navdata_time 824.209533;nd_seq 163569; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0055;-007 ;phys_accs  22.223944; -102.300987; -959.812500;phys_gyros   0.004958;  0.011707; -0.016269; ; frame_size 4525;video_stream.frame_number 22905;  hdvideo_stream.frame_number: 0 ; 1431377722.125412 

;navdata_time 824.209533;nd_seq 163570; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0055;-007 ;phys_accs  22.223944; -102.300987; -959.812500;phys_gyros   0.004958;  0.011707; -0.016269; ; frame_size 4525;video_stream.frame_number 22905;  hdvideo_stream.frame_number: 0 ; 1431377722.126768 

;navdata_time 824.214202;nd_seq 163571; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0054;-006 ;phys_accs  19.904596; -102.401611; -960.225098;phys_gyros   0.023950; -0.024301;  0.006645; ; frame_size 4525;video_stream.frame_number 22905;  hdvideo_stream.frame_number: 0 ; 1431377722.131881 

